Class,Count,Mean,Std,Median,P25,P75,P95,Max
Non-crisis,5000,0.000286,0.000266,0.000247,0.000241,0.000258,0.000430,0.011340
Crisis,5000,0.000278,0.000228,0.000243,0.000237,0.000250,0.000397,0.008122
